automaton,device,traverser,evaluator,layout,x_size,y_size,steps,rounds,warmup_rounds,x_tile_size,y_tile_size,seed,precision,average_time_ms,average_time_per_cell_ns,std_time_ms,rounds_had_same_checksums,checksum
game-of-life,CUDA,simple,bit_planes,bit_planes,20160,20160,200,10,5,0,0,42,64,16.762262,0.041243,0.002511,true,1847402-1844766-1843317-1836215-1841101-1846797-1847444-1850512-1844467-1853186-1847753-1853208-1847180-1840106-1843978-1846658
forest-fire,CUDA,simple,standard,standard,6720,6720,100,10,5,0,0,42,0,54.567114,1.208349,0.029420,true,4688-4659-4635-4552-4497-4454-4520-4600-4648-4409-4512-4735-4575-4531-4546-4487
forest-fire,CUDA,simple,standard,standard,13440,13440,100,10,5,0,0,42,0,215.710120,1.194186,0.048400,true,18394-18329-17828-18071-18446-18089-18205-18225-18272-18497-17961-18655-18448-18100-18217-18365
forest-fire,CUDA,simple,standard,standard,20160,20160,100,10,5,0,0,42,0,482.724147,1.187731,0.075792,true,40827-40914-40739-40649-40970-41101-40526-41187-40870-41151-41307-41143-41010-41461-40716-40840
forest-fire,CUDA,spacial_blocking,standard,standard,6720,6720,100,10,5,1,1,42,0,54.571577,1.208448,0.023717,true,4688-4659-4635-4552-4497-4454-4520-4600-4648-4409-4512-4735-4575-4531-4546-4487
forest-fire,CUDA,spacial_blocking,standard,standard,13440,13440,100,10,5,1,1,42,0,215.714288,1.194209,0.042061,true,18394-18329-17828-18071-18446-18089-18205-18225-18272-18497-17961-18655-18448-18100-18217-18365
forest-fire,CUDA,spacial_blocking,standard,standard,20160,20160,100,10,5,1,1,42,0,482.786115,1.187883,0.069116,true,40827-40914-40739-40649-40970-41101-40526-41187-40870-41151-41307-41143-41010-41461-40716-40840
forest-fire,CUDA,spacial_blocking,standard,standard,6720,6720,100,10,5,1,2,42,0,54.568959,1.208390,0.013439,true,4688-4659-4635-4552-4497-4454-4520-4600-4648-4409-4512-4735-4575-4531-4546-4487
forest-fire,CUDA,spacial_blocking,standard,standard,13440,13440,100,10,5,1,2,42,0,215.686473,1.194055,0.029198,true,18394-18329-17828-18071-18446-18089-18205-18225-18272-18497-17961-18655-18448-18100-18217-18365
forest-fire,CUDA,spacial_blocking,standard,standard,20160,20160,100,10,5,1,2,42,0,482.709231,1.187694,0.114242,true,40827-40914-40739-40649-40970-41101-40526-41187-40870-41151-41307-41143-41010-41461-40716-40840
forest-fire,CUDA,spacial_blocking,standard,standard,6720,6720,100,10,5,1,4,42,0,54.562752,1.208253,0.023635,true,4688-4659-4635-4552-4497-4454-4520-4600-4648-4409-4512-4735-4575-4531-4546-4487
