automaton,device,traverser,evaluator,layout,reference_impl,x_size,y_size,steps,rounds,warmup_rounds,x_tile_size,y_tile_size,cuda_block_size_x,cuda_block_size_y,seed,precision,average_time_ms,average_time_per_cell_ns,std_time_ms,rounds_had_same_checksums,checksum
forest-fire,CUDA,simple,bit_array,bit_array,,6720,6720,16,2,0,0,0,16,16,42,64,6.973785,0.154429,1.515132,true,207269-208999-208907-203127-206252-198180-216900-214057-203795-204296-202661-199687-202122-208677-210704-203368
forest-fire,CUDA,simple,bit_plates,bit_plates,,6720,6720,16,2,0,0,0,16,16,42,32,0.612360,0.013560,0.380889,true,207269-208999-208907-203127-206252-198180-216900-214057-203795-204296-202661-199687-202122-208677-210704-203368
forest-fire,CUDA,simple,bit_plates,bit_plates,,6720,6720,16,2,0,0,0,16,16,42,64,0.578944,0.012820,0.381746,true,207269-208999-208907-203127-206252-198180-216900-214057-203795-204296-202661-199687-202122-208677-210704-203368
wire,CPU,,,,baseline,6720,6720,16,2,0,0,0,16,16,42,32,1209.070449,26.773988,0.100418,true,216-0-51-87-2567555-3603010-3601909-2571194-2567999-3604122-3602900-2572096-51-72-51-51
wire,CUDA,,,,baseline,6720,6720,16,2,0,0,0,16,16,42,32,8.638098,0.191284,1.184925,true,216-0-51-87-2567555-3603010-3601909-2571194-2567999-3604122-3602900-2572096-51-72-51-51
wire,CPU,simple,standard,standard,,6720,6720,16,2,0,0,0,16,16,42,0,924.518370,20.472788,0.041878,true,216-0-51-87-2567555-3603010-3601909-2571194-2567999-3604122-3602900-2572096-51-72-51-51
wire,CPU,simple,bit_array,bit_array,,6720,6720,16,2,0,0,0,16,16,42,32,1565.900410,34.675728,0.028103,true,216-0-51-87-2567555-3603010-3601909-2571194-2567999-3604122-3602900-2572096-51-72-51-51
wire,CPU,simple,bit_plates,bit_plates,,6720,6720,16,2,0,0,0,16,16,42,32,638.489121,14.138878,0.028694,true,216-0-51-87-2567555-3603010-3601909-2571194-2567999-3604122-3602900-2572096-51-72-51-51
wire,CUDA,simple,standard,standard,,6720,6720,16,2,0,0,0,16,16,42,0,7.872695,0.174335,0.437920,true,216-0-51-87-2567555-3603010-3601909-2571194-2567999-3604122-3602900-2572096-51-72-51-51
wire,CUDA,spacial_blocking,standard,standard,,6720,6720,16,2,0,1,1,16,16,42,0,7.840552,0.173623,0.386878,true,216-0-51-87-2567555-3603010-3601909-2571194-2567999-3604122-3602900-2572096-51-72-51-51
wire,CUDA,spacial_blocking,standard,standard,,6720,6720,16,2,0,1,2,16,16,42,0,7.844648,0.173714,0.390333,true,216-0-51-87-2567555-3603010-3601909-2571194-2567999-3604122-3602900-2572096-51-72-51-51
wire,CUDA,spacial_blocking,standard,standard,,6720,6720,16,2,0,1,4,16,16,42,0,7.865640,0.174179,0.436412,true,216-0-51-87-2567555-3603010-3601909-2571194-2567999-3604122-3602900-2572096-51-72-51-51
wire,CUDA,simple,bit_array,bit_array,,6720,6720,16,2,0,0,0,16,16,42,32,4.397786,0.097386,1.447764,true,216-0-51-87-2567555-3603010-3601909-2571194-2567999-3604122-3602900-2572096-51-72-51-51
wire,CUDA,simple,bit_array,bit_array,,6720,6720,16,2,0,0,0,16,16,42,64,5.252159,0.116305,1.494931,true,216-0-51-87-2567555-3603010-3601909-2571194-2567999-3604122-3602900-2572096-51-72-51-51
wire,CUDA,simple,bit_plates,bit_plates,,6720,6720,16,2,0,0,0,16,16,42,32,0.607808,0.013459,0.376777,true,216-0-51-87-2567555-3603010-3601909-2571194-2567999-3604122-3602900-2572096-51-72-51-51
wire,CUDA,simple,bit_plates,bit_plates,,6720,6720,16,2,0,0,0,16,16,42,64,0.582054,0.012889,0.376732,true,216-0-51-87-2567555-3603010-3601909-2571194-2567999-3604122-3602900-2572096-51-72-51-51
greenberg-hastings,CPU,,,,baseline,6720,6720,16,2,0,0,0,16,16,42,32,3343.782173,74.045630,59.123487,true,443862-426770-410223-428414-409591-437186-433000-413402-415398-430739-434801-442284-416703-446271-483444-409267
greenberg-hastings,CUDA,,,,baseline,6720,6720,16,2,0,0,0,16,16,42,32,8.234590,0.182349,0.827268,true,443862-426770-410223-428414-409591-437186-433000-413402-415398-430739-434801-442284-416703-446271-483444-409267
greenberg-hastings,CPU,simple,standard,standard,,6720,6720,16,2,0,0,0,16,16,42,0,1901.301541,42.102943,3.195905,true,443862-426770-410223-428414-409591-437186-433000-413402-415398-430739-434801-442284-416703-446271-483444-409267
greenberg-hastings,CPU,simple,bit_array,bit_array,,6720,6720,16,2,0,0,0,16,16,42,32,5029.753144,111.380234,0.027031,true,443862-426770-410223-428414-409591-437186-433000-413402-415398-430739-434801-442284-416703-446271-483444-409267
greenberg-hastings,CPU,simple,bit_plates,bit_plates,,6720,6720,16,2,0,0,0,16,16,42,32,784.985001,17.382923,0.767025,true,443862-426770-410223-428414-409591-437186-433000-413402-415398-430739-434801-442284-416703-446271-483444-409267
greenberg-hastings,CUDA,simple,standard,standard,,6720,6720,16,2,0,0,0,16,16,42,0,8.316795,0.184169,0.901239,true,443862-426770-410223-428414-409591-437186-433000-413402-415398-430739-434801-442284-416703-446271-483444-409267
greenberg-hastings,CUDA,spacial_blocking,standard,standard,,6720,6720,16,2,0,1,1,16,16,42,0,7.847652,0.173781,0.414129,true,443862-426770-410223-428414-409591-437186-433000-413402-415398-430739-434801-442284-416703-446271-483444-409267
greenberg-hastings,CUDA,spacial_blocking,standard,standard,,6720,6720,16,2,0,1,2,16,16,42,0,7.828038,0.173346,0.474516,true,443862-426770-410223-428414-409591-437186-433000-413402-415398-430739-434801-442284-416703-446271-483444-409267
greenberg-hastings,CUDA,spacial_blocking,standard,standard,,6720,6720,16,2,0,1,4,16,16,42,0,7.807962,0.172902,0.417885,true,443862-426770-410223-428414-409591-437186-433000-413402-415398-430739-434801-442284-416703-446271-483444-409267
greenberg-hastings,CUDA,simple,bit_array,bit_array,,6720,6720,16,2,0,0,0,16,16,42,32,7.372666,0.163262,1.993945,true,443862-426770-410223-428414-409591-437186-433000-413402-415398-430739-434801-442284-416703-446271-483444-409267
greenberg-hastings,CUDA,simple,bit_array,bit_array,,6720,6720,16,2,0,0,0,16,16,42,64,8.004801,0.177261,1.508051,true,443862-426770-410223-428414-409591-437186-433000-413402-415398-430739-434801-442284-416703-446271-483444-409267
greenberg-hastings,CUDA,simple,bit_plates,bit_plates,,6720,6720,16,2,0,0,0,16,16,42,32,0.696859,0.015431,0.377614,true,443862-426770-410223-428414-409591-437186-433000-413402-415398-430739-434801-442284-416703-446271-483444-409267
greenberg-hastings,CUDA,simple,bit_plates,bit_plates,,6720,6720,16,2,0,0,0,16,16,42,64,0.645872,0.014302,0.379556,true,443862-426770-410223-428414-409591-437186-433000-413402-415398-430739-434801-442284-416703-446271-483444-409267
