automaton,device,traverser,evaluator,layout,reference_impl,x_size,y_size,steps,rounds,warmup_rounds,x_tile_size,y_tile_size,cuda_block_size_x,cuda_block_size_y,seed,precision,average_time_ms,average_time_per_cell_ns,std_time_ms,rounds_had_same_checksums,checksum
game-of-life,CUDA,simple,bit_planes,bit_planes,,13440,13440,200,10,5,0,0,16,16,42,32,4.626603,0.025613,0.002416,true,822320-819289-814071-821173-821263-825408-816626-817941-820521-819648-831189-823019-818051-814440-819776-821534
game-of-life,CUDA,simple,bit_planes,bit_planes,,20160,20160,200,10,5,0,0,16,16,42,32,14.062332,0.034600,0.005295,true,1847402-1844766-1843317-1836215-1841101-1846797-1847444-1850512-1844467-1853186-1847753-1853208-1847180-1840106-1843978-1846658
game-of-life,CUDA,simple,bit_planes,bit_planes,,6720,6720,200,10,5,0,0,16,16,42,64,1.193566,0.026431,0.001936,true,207359-204547-208093-201442-205551-204682-204486-205806-202259-205970-205946-210285-202288-202083-209638-207569
game-of-life,CUDA,simple,bit_planes,bit_planes,,13440,13440,200,10,5,0,0,16,16,42,64,3.213510,0.017790,0.002269,true,822320-819289-814071-821173-821263-825408-816626-817941-820521-819648-831189-823019-818051-814440-819776-821534
game-of-life,CUDA,simple,bit_planes,bit_planes,,20160,20160,200,10,5,0,0,16,16,42,64,13.362168,0.032877,0.001669,true,1847402-1844766-1843317-1836215-1841101-1846797-1847444-1850512-1844467-1853186-1847753-1853208-1847180-1840106-1843978-1846658
forest-fire,CUDA,,,,baseline,6720,6720,100,10,5,0,0,16,16,42,32,46.771194,1.035714,0.042124,true,4688-4659-4635-4552-4497-4454-4520-4600-4648-4409-4512-4735-4575-4531-4546-4487
forest-fire,CUDA,,,,baseline,13440,13440,100,10,5,0,0,16,16,42,32,187.052511,1.035536,0.127145,true,18394-18329-17828-18071-18446-18089-18205-18225-18272-18497-17961-18655-18448-18100-18217-18365
forest-fire,CUDA,,,,baseline,20160,20160,100,10,5,0,0,16,16,42,32,420.126008,1.033710,0.242125,true,40827-40914-40739-40649-40970-41101-40526-41187-40870-41151-41307-41143-41010-41461-40716-40840
forest-fire,CUDA,simple,standard,standard,,6720,6720,100,10,5,0,0,16,16,42,0,46.779010,1.035887,0.096002,true,4688-4659-4635-4552-4497-4454-4520-4600-4648-4409-4512-4735-4575-4531-4546-4487
forest-fire,CUDA,simple,standard,standard,,13440,13440,100,10,5,0,0,16,16,42,0,187.034369,1.035435,0.097159,true,18394-18329-17828-18071-18446-18089-18205-18225-18272-18497-17961-18655-18448-18100-18217-18365
